,assignee,creator,description,key,reporter,summary
2846,Ilayaperumal Gopinathan,David Turanski,"For testing, it would be useful to access the deployed Module instances to connect sources and or sinks to a module's input and output channels, etc. This could be a simple as exposing the deployedModuleMap on ModuleDeployer or possibly something more elaborate if this level of granularity is generally useful for runtime administration.",XD-891,David Turanski,Provide a way to access currently deployed modules
2847,Ilayaperumal Gopinathan,Gunnar Hillert,"We probably need to look into some options to run our JavaScript tests (Jasmine) as part of the build process - some possibilities:

* Jasmine Gradle Plugin https://github.com/dzhaughnroth/jasmine-gradle-plugin
* Saga - http://timurstrekalov.github.io/saga/

Looks like Maven has slightly better support: http://searls.github.io/jasmine-maven-plugin/index.html

See also: XD-865",XD-890,Gunnar Hillert,Run JavaScript tests (Jasmine) as part of the build process
2848,Ilayaperumal Gopinathan,Mark Pollack,"This conflicts with and 'out of the box' hadoop installation that uses 8080 as the 'map reduce shuffle port'.

8088 sound ok?

",XD-889,Mark Pollack,Change default admin port from 8080
2849,,Glenn Renfro,,XD-888,Glenn Renfro,Remove org. in hsqldb dependency
2850,Eric Bottard,Eric Bottard,"Currently, a lot of jars that are on the classpath of xd-dirt are there to support modules.
We should move those to the lib/ construct of a module and remove them from the CP of dirt.

But this should not be done by simple ""mv"", as we'd lose version tracking and dependency management offered by gradle.

Pending a ""dependency-aware"" ModuleRegistry, we should be able to alter the build.gradle file so that it
- knows about individual modules (maybe handles them as project)
- copies its libs into the appropriate directory
- does not copy dependencies that are already legitimate dependencies of xd-dirt (this can be achieved by runtime introspection of the dependeny tree of both projects)

",XD-887,Eric Bottard,Package modules with their support jars
2851,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,,XD-886,Ilayaperumal Gopinathan,Fix package tangle between org.springframework.xd.dirt.plugins.job and org.springframework.xd.dirt.job
2852,Ilayaperumal Gopinathan,Gunnar Hillert,"Add Batch Job Listeners Automatically

* Each major listener category should send notifications to own channel (StepExecution, Chunk, Item etc.)
* Add attribute to disallow automatic adding of listeners",XD-885,Gunnar Hillert,Add Batch Job Listeners Automatically
2853,,Glenn Renfro,"If the spring batch database has already been initialized do not re-initialize for each test run.  

",XD-884,Glenn Renfro,Do not initialize spring batch schema on each test run
2854,,Glenn Renfro,In our tests the context is destroyed at the end of each module.  It should be destroyed at the close of the container.,XD-883,Glenn Renfro,Refactor the tests so that contexts are destroyed properly 
2855,Glenn Renfro,Glenn Renfro,"Set the enableJmx to false because contexts are not getting destroyed properly, and in some cases prevents testSystemPropertiesOverridesDefault from running successfully.",XD-882,Glenn Renfro,Disable the JMX setting in SingleNodeMainIntegrationTests.testConfiguration
2856,Andrew Eisenberg,Andrew Eisenberg,"We should consider moving to wire.js to encourage dependency injection in the UI Javascript code.

See here: https://github.com/cujojs/wire/blob/master/docs/get.md",XD-881,Andrew Eisenberg,Introduce wire.js into the XD admin UI
2857,Gary Russell,Gary Russell,,XD-880,Gary Russell,Update Java Version to 7
2858,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,"Currently, the ""data"" directory created by the HSQLDB process during the tests run is not cleaned up and may cause issues. We should delete the ""data"" directory after each test completion.",XD-879,Ilayaperumal Gopinathan,Cleanup hsqldb data directory used by tests after each test completion
2859,Gary Russell,Jennifer Hickey,"The SI JMX MBeanExporter proxies the output channel created in a module context when JMX is enabled. We have to unwrap the proxy in StreamPlugin in order to add the tap. XD-877 temporarily introduced this code, but a more elegant solution is called for. Perhaps this will involve SI making addInterceptor an interface method.",XD-878,Jennifer Hickey,Remove code in StreamPlugin to extract target output channel from proxy
2860,Jennifer Hickey,Jennifer Hickey,"When JMX is enabled, the Module's output channel processed by StreamPlugin is a Proxy. Thus it fails the ""instanceof"" test used to apply the WireTap to the output channel. ",XD-877,Jennifer Hickey,Taps do not work when JMX is enabled
2861,,James Williams,"Spring batch workflows are great for complex hadoop operations but if I want to create a simple processor that executes some hadoop fs in groovy, it would be nice to do this:

{code}
<service-activator output-channel=""output"" input-channel=""input"">
   <hadoop:script id=""loadScript"" language=""groovy"">
	 def outputPath = ""${hdfsPath}""	
	 fsh.put(""-"", outputPath)  
   </hadoop:script>
</service-activator>
{code}

The goal of this hadoop script is to use in a stream like this:""file | script"" that puts a file byte for byte to hdfs. An enhanced hdfs sink that's optimized for binary data like images/pdfs might be more elegant but I was hoping that this would work. This script gets ignored by Spring XD. But even if it didn't, I am not sure the ""-"" stdin put would work as hoped. ",XD-876,James Williams,Create FsShell based module to copy a File to HDFS
2862,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,"The admin Server's tomcat is not shutdown properly. There is an existing method shutdownCleanly() on AdminServer but the spring-xd-shell tests hang when we use this method to shutdown the admin server. 
",XD-875,Ilayaperumal Gopinathan,Handle AdminServer shutdown cleanly
2863,Luke Taylor,Gunnar Hillert,"It looks like we don't handle deletion of source files currently. We should provide some support for that - Maybe there is a way to into Spring Integration's PseudoTransactionManager support:

http://docs.spring.io/spring-integration/api/org/springframework/integration/transaction/PseudoTransactionManager.html

The *File Source* should possibly also support File archival functionality (But that might also be a dedicated processor?). Not sure where we want to set the semantic boundaries for the File Source.
",XD-874,Gunnar Hillert,"For file based item reader jobs, step/job completion message should have name of file sent on named channel"
2864,,Gunnar Hillert,"This story may need to be broken into several stories

Particularly for Batch scenarios one may not want to run a ""file-to-string-transformer"" on the payload file in the file source but rather handle/pass the file reference itself (local SAN etc.) - e.g. in case somebody drops a 2GB or in scenarios where one wants to push those large files into HDFS and run hadoop jobs on the data.

This is important for Batch Jobs as they need to access the file itself for the reader. 

We need to *keep in mind the various transports we support*. Not sure how Kryo handles file serialization. I would think we only need the File Meta Data to be persisted not the file-data itself (make that configurable??).
",XD-873,Gunnar Hillert,File Source - Provide option to pass on File object
2865,,Gunnar Hillert,"Just wanted to create story for this - so we can consider whether this should be addressed.

In at least 2 modules we use non-persisted states. We may want to consider making them persistent:
 
*Twitter Search* uses an in-memory *MetadataStore* that keeps track of the twitter ids. There exists a corresponding issue for Spring Integration:

""Create a Redis-backed MetadataStore""
See: https://jira.springsource.org/browse/INT-3085

*File Soure*'s File Inbound Channel Adapter uses a AcceptOnceFileListFilter, which uses an in-memory Queue to keep track of duplicate files.

",XD-872,Gunnar Hillert,Make in-memory meta data stores persistent
2866,David Turanski,Gunnar Hillert,"2 issues exist:

1) 

Current this does not create an error in the shell

{code}
stream create --name s1 --definition ""http | log""
stream create --name s2 --definition ""http | log""
{code}

On the server-side I see:

{code}
Caused by: java.net.BindException: Address already in use
	at sun.nio.ch.Net.bind0(Native Method)
	at sun.nio.ch.Net.bind(Net.java:344)
	at sun.nio.ch.Net.bind(Net.java:336)
	at sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:199)
	at sun.nio.ch.ServerSocketAdaptor.bind(ServerSocketAdaptor.java:74)
	at org.jboss.netty.channel.socket.nio.NioServerBoss$RegisterTask.run(NioServerBoss.java:193)
	at org.jboss.netty.channel.socket.nio.AbstractNioSelector.processTaskQueue(AbstractNioSelector.java:366)
	at org.jboss.netty.channel.socket.nio.AbstractNioSelector.run(AbstractNioSelector.java:290)
	at org.jboss.netty.channel.socket.nio.NioServerBoss.run(NioServerBoss.java:42)
	... 3 more
{code}

2)
The Stream should not be saved to the StreamDefinitionRepo in case of an error.

",XD-871,Gunnar Hillert,No errors in Shell when creating stream with HTTP Source + already used port 
2867,Glenn Renfro,Mark Pollack,"Commands that pair up with the functionality described in XD-859

module list  (would list all modules in a table format)
module list --type=source  (would list only source modules)

and so on.",XD-870,Mark Pollack,Support for listing of modules in the Shell
2868,,Glenn Renfro,"i.e.  http | group1: filter | group1: transform | file 

then specifying anything labelled group1 goes to machineX",XD-869,Glenn Renfro,Colocate Modules using labels.
2869,Jon Brisbin,Mark Pollack,"We need to verify that we are seeing improved throughput when using the reactor based syslog adapter.  

A suggestion on a basic stream to perform a microbenchmark this would be using in-memory counters, singlenode with the stream definition ""syslog | counter"".

Based on the results of this microbenchmark, other stories may need to be created.",XD-868,Mark Pollack,Create microbenchmark performance test of reactor syslog adapter vs standard syslog adapter
2870,,Glenn Renfro,Parser creates a module compose command that allows a user to create a module of other modules.  This composed module can accept parameters.,XD-867,Glenn Renfro,Support the ability for a user to create composite modules that can accept parameters
2871,Glenn Renfro,Glenn Renfro,Get rid of all the thread.sleeps and code that supported them.,XD-866,Glenn Renfro,Remove remaining Thread.sleeps from the job tests
2872,,Andrew Eisenberg,The admin-ui currently has no unit tests.  Need to add a test suite and hook it up to the build so that tests are run on every build.,XD-865,Andrew Eisenberg,Add a test suite to the admin-ui
2873,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,We need to move the BatchJobExecutionsByJobName method to BatchJobsController as that seems appropriate,XD-864,Ilayaperumal Gopinathan,Move BatchJobExecutionsByJobName to BatchJobsController from BatchJobExecutionsController
2874,Gunnar Hillert,Mark Pollack,Needs some investigation on how the update information from Spring Batch listeners can be sent as a message across modules in a single node configuration as well as across JVMs in a distributed node configuration.,XD-863,Mark Pollack,Serialization of Spring Batch Context Objects
2875,Mark Fisher,Mark Pollack,"Similar to xpath with XML, there are now some initial support in SI that enable the use of filter/routers based on JSON Path expressions.  That support needs to be reviewed and then brought up to the level of exposure in Spring XD so that router/filter modules could use JSON Path.  json-path-filter/router are components that need to be created, perhaps others.

This story needs to be broken down further.",XD-862,Mark Pollack,First class JSON Path support
2876,,Mark Pollack,"This story will need to be broken down further.

The current code mixes together the type conversion that happens within a single JVM (for data that is passed on a local transport between modules) and serialization/deserialization between JVMs.  This should be separated.

There was a suggestion that we could perhaps use typed data channels in SI as a means implement the type conversion between modules.  The media-type conversion support in Spring 4 is another part of this solution.",XD-861,Mark Pollack,Type Conversion across modules
2877,Glenn Renfro,Mark Pollack,"From the CLI, one should be able to get a listing of modules and be able to specifically ask for jobs, sources, sinks, and processors.  A brief description of them would also be nice - this might come from adding some metadata into the definition.

Finer grained description/implementation suggestion TBD",XD-859,Mark Pollack,Support for listing of modules in the REST API
2878,Jennifer Hickey,Jennifer Hickey,,XD-858,Jennifer Hickey,Upgrade to Spring Data Redis 1.1.0.RELEASE
2879,Eric Bottard,Eric Bottard,"Apart from sanity checks, there is not much that ties FileModuleRegistry to actual java.io.Files. Using the Resource abstraction would work just the same, and would allow loading modules from the classpath in constrained environments or other file systems/locations. (HDFS /HTTP)",XD-857,Eric Bottard,"Refactor FileModuleRegistry as ""ResourceModuleRegistry"""
2880,Eric Bottard,Eric Bottard,"Similar to what has been done for e.g. FileSink, refactor metrics related sinks to use smart Thread.sleep() timings",XD-855,Eric Bottard,Change metrics assertions in integration tests to use smart Thread.sleep
2881,Jennifer Hickey,Eric Bottard,"The doc at http://docs.spring.io/spring-xd/docs/1.0.0.M3/reference/html/#_modules_and_spring refers to an old version of the counter sink, when it was still hardwired to use redis.
The text next to it that explains placeholders is out of date (with respect to the redis placeholders)",XD-854,Eric Bottard,Update doc about modules and spring
2882,,Gunnar Hillert,"Add serialVersionUID to the objects in package
org.springframework.integration.x.twitter:

* XDEntities
* XDUrlEntity
* XDHashTagEntity
* XDMentionEntity
* XDMediaEntity
* XDTickerSymbolEntity
* XDTweet

The absence creates warnings during compile time.",XD-853,Gunnar Hillert,Add definition of serialVersionUID to Twitter classes
2883,,Glenn Renfro,"Wildcard support for associating inbound and outbound channels with modules.  
The wild card will be represented by an asterisk '*'.
Example:

myEmailSource > tap:job:*	send message to all jobs
myEmailSource > tap:*		send message to all stream/job taps
myEmailSource > :*foo*		send message to all channels that contain the channels that contains the word 'foo'
tap:*bar > myEmailSource

",XD-852,Glenn Renfro,DSL needs to have wildcard support for taps
2884,,Glenn Renfro,"The syntax for both taps and job channels will be prefixed with the word tap.
* The parser will search both the all (stream and job for now) registries to find the ""name"".  
* If the name is present in only in one registry then that definition will be used.  
* If the name is  present both registries a syntax exception will be issued.
   - The user then can optionally specify which registry to use by adding a second token to the definition that specifies the type of channel the user wants.
	- i.e. 	tap:{stream}:streamName > mySink
* If the user attempts to place a job on the greater (left hand) side without specifying a notification a syntax error will be thrown.
Format: 
-- tap:[type]:name > $
-- $ > tap:[type]:name  
-- Example:
   tap:streamName >mySink
   tap:stream:streamName > mySink
   mySource|myProcessor > tap:stream:mySink
   myEmailSource > tap:job:jobName.step1
   myEmailSource > tap:jobName.step1
   tap:job:jobName-notifications > myEmailSink",XD-851,Glenn Renfro,Refactor DSL for Taps and Jobs Usage
2885,,Thomas Risberg,"Looks like there are some version mismatch issues with the build/packaging of the XD components. Looking in xd/lib I see the following which looks suspicious:

mqtt-client-0.2.1.jar
mqtt-client-1.0.jar

jackson-core-asl-1.9.13.jar
jackson-mapper-asl-1.9.12.jar

spring-integration-core-3.0.0.M3.jar
spring-integration-http-2.2.5.RELEASE.jar

spring-data-commons-1.6.0.M1.jar
spring-data-commons-core-1.4.0.RELEASE.jar
",XD-850,Thomas Risberg,JAR version mismatches
2886,David Turanski,David Turanski,The gemfire modules currently accept server host and port. Provide an option to specify a locator host and port,XD-849,David Turanski,Gemfire modules should support connection via locator
2887,,Will McQueen,"The README.md at:

  https://github.com/spring-projects/spring-xd/blob/master/README.md

...says:

""Before we accept a non-trivial patch or pull request we will need you to sign the contributor's agreement""

Navigating to the <contributor's agreement> link takes the user to the ICLA web page at:

https://support.springsource.com/spring_committer_signup

//exp: The Project field's dropdown should have an option for ""Spring XD""
//act: There's no ""Spring XD"" option",XD-848,Will McQueen,ICLA website is missing Spring XD project option
2888,Thomas Risberg,Thomas Risberg,"We should adjust our --hadoopDistro options to the ones supported in the new spring-data-hadoop 1.0.1.RELEASE - hadoop12 (default), cdh4, hdp13, phd1, hadoop20

This includes updating the wiki pages",XD-847,Thomas Risberg,Revise the available hadoopDistro options
2889,,Glenn Renfro,Tap '@' and using numbers instead of module names.,XD-846,Glenn Renfro,Remove deprecated tap syntax from the parser.
2890,,Glenn Renfro,"When using jobs, taps we no longer need to have the leading :.  i.e. :tap:foo.  We should only support tap:foo.",XD-845,Glenn Renfro,Remove support for the leading : on items that have a declared namespace
2891,Eric Bottard,Eric Bottard,"As part of running in Cloud Foundry, one quick workaround for the lack of ""classpath"" support would be to use the Spring Boot Loader special ClassLoader and jar-inside-a-jar support: https://github.com/spring-projects/spring-boot/tree/master/spring-boot-tools/spring-boot-loader",XD-844,Eric Bottard,Enable Spring Boot Loader support
2892,Dave Syer,Eric Bottard,"First take on this involves
- being able to deploy the two separate applications: xd-admin & xd-container
- being able to CF-service provided redis & rabbit for internal needs of XD
- to some extent, make modules smart and CF aware (e.g. http source uses correct port)",XD-843,Eric Bottard,Initial XD on CloudFoundry support
2893,Thomas Risberg,Thomas Risberg,"Add back ""classifier = 'dist'"" to distZip build target - it was was accidentally removed.",XD-842,Thomas Risberg,Add back classifier = 'dist' to distZip build target
2894,,Tobias Flohre,"Like just discussed after the Spring One session, it would be nice to have a packaging model for custom modules. Instead of putting all libs in one directory and an XML in another, it could be a fat jar including some metadata file pointing to either an XML or to a JavaConfig configuration class inside the jar.
Some more words why I think it's important to have something like that:
Spring XD can be very well used in the enterprise, and at least for job modules it's likely to have some dependencies. So what do you have to do now to deploy such a module? Build a jar with your build process, then get it from your repository, unpack it and somehow find the relevant XML to copy it into the appropriate folder, then inspect the POM to find out what all the dependencies are, direct and transient, and get them from your repository to copy them into the appropriate folder. And of course, copy the jar. And when using Spring XD in distributed mode, you have to do it several times.
With the approach mentioned above you just build your fat jar with your build process and distribute it to all your nodes, nothing complicated.

And if you implement it like that it's easy to have a JavaConfig support that's almost the same.",XD-841,Tobias Flohre,Create a packaging model for custom modules
2895,Patrick Peralta,Gary Russell,"As of M3...

{code}
javadoc: warning - Error fetching URL: http://static.springsource.org/spring-shell/docs/current/api/package-list
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/module/CompositeModuleRegistry.java:40: warning - @param argument ""cp"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/module/CompositeModuleRegistry.java:40: warning - @param argument ""file"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/JobFactoryBean.java:62: warning - Tag @link: can't find jobName in org.springframework.xd.dirt.plugins.job.JobFactoryBean
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/rest/XDController.java:56: warning - @param argument ""<V>"" is not a type parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/rest/XDController.java:56: warning - @param argument ""<T>"" is not a type parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/BatchJobAlreadyExistsException.java:32: warning - @param argument ""message"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/BatchJobLocator.java:32: warning - @DistributedJobService is an unknown tag.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/BatchJobLocator.java:32: warning - @DistributedJobService is an unknown tag.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/NoSuchBatchJobException.java:31: warning - @param argument ""message"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/options/ContainerOptions.java:30: warning - @param argument ""defaultTransport"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/options/ContainerOptions.java:30: warning - @param argument ""defaultAnalytics"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/options/OptionUtils.java:35: warning - @return tag has no arguments.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-module/src/main/java/org/springframework/xd/module/Plugin.java:32: warning - Tag @see: reference not found: ModuleDeployer
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/bus/MessageBus.java:53: warning - @param argument ""moduleInputChannel"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/bus/MessageBus.java:72: warning - @param argument ""moduleOutputChannel"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/bus/MessageBus.java:102: warning - @param argument ""moduleOutputChannel"" is not a parameter name.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-reactor/src/main/java/org/springframework/xd/integration/reactor/config/ReactorNamespaceUtils.java:46: warning - @return tag has no arguments.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/BatchJobLocator.java:32: warning - @DistributedJobService is an unknown tag.
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/plugins/job/batch/BatchJobLocator.java:32: warning - @DistributedJobService is an unknown tag.
{code}

and

{code}
warning: [options] bootstrap class path not set in conjunction with -source 1.6
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/bus/LocalMessageBus.java:132: warning: [rawtypes] found raw type: LocalMessageBus.SharedChannelProvider
		SharedChannelProvider channelProvider = aliasHint ? queueChannelProvider
		^
  missing type arguments for generic class LocalMessageBus.SharedChannelProvider<T>
  where T is a type-variable:
    T extends AbstractMessageChannel declared in class LocalMessageBus.SharedChannelProvider
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/bus/LocalMessageBus.java:159: warning: [rawtypes] found raw type: LocalMessageBus.SharedChannelProvider
		SharedChannelProvider channelProvider = aliasHint ? queueChannelProvider
		^
  missing type arguments for generic class LocalMessageBus.SharedChannelProvider<T>
  where T is a type-variable:
    T extends AbstractMessageChannel declared in class LocalMessageBus.SharedChannelProvider
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:93: warning: [rawtypes] found raw type: List
	public List getUrls() {
	       ^
  missing type arguments for generic class List<E>
  where E is a type-variable:
    E extends Object declared in interface List
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:101: warning: [rawtypes] found raw type: List
	public List getHashTags() {
	       ^
  missing type arguments for generic class List<E>
  where E is a type-variable:
    E extends Object declared in interface List
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:109: warning: [rawtypes] found raw type: List
	public List getMentions() {
	       ^
  missing type arguments for generic class List<E>
  where E is a type-variable:
    E extends Object declared in interface List
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:117: warning: [rawtypes] found raw type: List
	public List getMedia() {
	       ^
  missing type arguments for generic class List<E>
  where E is a type-variable:
    E extends Object declared in interface List
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:126: warning: [rawtypes] found raw type: List
	public List getTickerSymbols() {
	       ^
  missing type arguments for generic class List<E>
  where E is a type-variable:
    E extends Object declared in interface List
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDEntities.java:37: warning: [serial] serializable class XDEntities has no definition of serialVersionUID
public class XDEntities implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDUrlEntity.java:31: warning: [serial] serializable class XDUrlEntity has no definition of serialVersionUID
public class XDUrlEntity implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDHashTagEntity.java:32: warning: [serial] serializable class XDHashTagEntity has no definition of serialVersionUID
public class XDHashTagEntity implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDMentionEntity.java:32: warning: [serial] serializable class XDMentionEntity has no definition of serialVersionUID
public class XDMentionEntity implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDMediaEntity.java:32: warning: [serial] serializable class XDMediaEntity has no definition of serialVersionUID
public class XDMediaEntity implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDTickerSymbolEntity.java:31: warning: [serial] serializable class XDTickerSymbolEntity has no definition of serialVersionUID
public class XDTickerSymbolEntity implements Serializable {
       ^
/Users/gpr/Documents/workspace-si/spring-xd/spring-xd-dirt/src/main/java/org/springframework/integration/x/twitter/XDTweet.java:34: warning: [serial] serializable class XDTweet has no definition of serialVersionUID
public class XDTweet implements Serializable {
       ^
{code}",XD-840,Gary Russell,Fix Compiler Warnings
2896,Eric Bottard,Eric Bottard,,XD-839,Eric Bottard,Close parent contexts when shutting down
2897,,Gunnar Hillert,,XD-838,Gunnar Hillert,Refactor out Trigger docs from the Batch Job chapter
2898,Andrew Eisenberg,Andrew Eisenberg,"In the XD UI, the list of jobs is refreshed from the server every 5 seconds.  There are also tooltips that are activated when hovering over a job execution. These tooltips are no longer responsive (ie- they remain on the page and don't disappear) after the list of jobs is refreshed.",XD-837,Andrew Eisenberg,Tipsy tooltip hovers are not responsive after jobs list is refreshed from server
2899,,Glenn Renfro,,XD-836,Glenn Renfro,Harden the requirements for the  DSL and refactor accordingly.
2900,,Gunnar Hillert,"http://localhost:8080/metrics/field-value-counters

{code}
<errors xmlns:atom=""http://www.w3.org/2005/Atom"">
<error logref=""HttpMessageNotWritableException"">
<message>
Could not marshal [PagedResource { content: [links: [<http://localhost:8080/metrics/field-value-counters/hashtags>;rel=""self""]], metadata: Metadata { number: 0, total pages: 1, total elements: 1, size: 0 }, links: [] }]: null; nested exception is javax.xml.bind.MarshalException - with linked exception: [com.sun.istack.SAXException2: unable to marshal type ""org.springframework.xd.rest.client.domain.metrics.MetricResource"" as an element because it is not known to this context.]
</message>
</error>
</errors>
{code}",XD-835,Gunnar Hillert,REST - Listing of FieldValueCounter not working
2901,,Ilayaperumal Gopinathan,"There are couple of issues here:

1) The admin server destroy() - close event's onApplicationEvent(ContextClosedEvent) listener has stop() to stop the admin server's tomcat instance. The stop() also calls the applicationContext's destroy() which loops again to stop.

2) With HSQLServer or any batch db server(in future), the admin server stop() also needs to handle the batch db server shutdown.",XD-834,Ilayaperumal Gopinathan,Handle XD admin server shutdown cleanly
2902,liujiong,Jennifer Hickey,"Currently this works:
stream create foo --definition ""tap:baz.time > log""
stream create baz --definition ""time | file""

But this doesn't:
stream create foo --definition ""tap:baz > log""
stream create baz --definition ""time | file""

This is because the parser translates references to ""tap:baz"" to named channel ""tap:baz.time"" (the name of the stream's first module). If the stream is not yet created, the parser cannot perform this translation. A fix for this will likely be related to the fix needed for XD-812.",XD-833,Jennifer Hickey,Allow tapping a stream prior to stream creation without specifying module name
2903,Jennifer Hickey,Mark Fisher,"Now that taps are just channels, we need to update the docs.

The preceding colon is no longer needed (and will be removed altogether), so all examples should be like this:

{code}
tap:foo > bar
{code}

",XD-832,Mark Fisher,Update docs for new Tap syntax
2904,Eric Bottard,Mark Fisher,,XD-831,Mark Fisher,Update docs to cover Module config and lib directory structure
2905,Andrew Eisenberg,Andrew Eisenberg,"Currently, the way that we are accessing JobExecutions from batch admin, the JobParameters are not being filled in.  We are using a {{org.springframework.batch.admin.service.JdbcSearchableJobExecutionDao}} to grab the job executions from the database. The database queries that it uses does not include the JobParameters (which is stored in a different table).

I think that this will require a change to batch admin in order to properly expose the parameters.",XD-830,Andrew Eisenberg,Expose Job parameters for JobExecutions
2906,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,We also would like to upgrade the hsqldb version on spring batch admin so that both are compatible.,XD-829,Ilayaperumal Gopinathan,Upgrade hsqldb version on XD batch admin to the latest
2907,Mark Fisher,Mark Fisher,"org.springframework.integration.x.bus.Bridge should now be called Binding

we can also move the INBOUND/OUTBOUND direction (or possibly the CONSUMER/PRODUCER role) into this class; that should simplify its usage in conditional code within the MessageBus code and also reduce the use of ""in"" and ""out"" as Strings in that same code",XD-828,Mark Fisher,rename Bridge to Binding and add direction
2908,David Turanski,David Turanski,"Twitter search source should produce JSON or Pojo. The Pojo requires a custom wrapper class that is JSON friendly (e.g., zero arg constructor). The twittersearch module should have a parameter --json true/false (default true) to control the output type.",XD-827,David Turanski,provide a property on twittersearch to enable the object-to-json transformer
2909,,Mark Pollack,"org.springframework.xd.shell.command.MailCommandTests in spring-xd-shell project.

I get failures relating to invalid username/password

INFO: Stream Name Stream Definition Status ----------- ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------- mailstream imap --port=1044 --protocol=imap --folder=INBOX --username=johndoe --password=secret | file --dir=/tmp --name=FileSink1280066074228960855 --suffix=txt --charset=UTF-8 --binary=false deployed 13/09/04 11:32:11 WARN mail.ImapIdleChannelAdapter: error occurred in idle task javax.mail.AuthenticationFailedException: LOGIN failed. Invalid login/password at com.sun.mail.imap.IMAPStore.protocolConnect(IMAPStore.java:663) ",XD-826,Mark Pollack,Investigate failing tests in MailCommandTest
